mso:broadcast.radio_affiliation_duration	mso:broadcast.radio_affiliation_duration.from_date	mso:type.datetime
mso:measurement_unit.dated_percentage	mso:measurement_unit.dated_percentage.statistics_method	mso:statistics.statistics_technique
mso:law.constitutional_convention_delegate	mso:law.constitutional_convention_delegate.constitutional_conventions	mso:law.constitutional_convention
mso:business.company_product_relationship	mso:business.company_product_relationship.consumer_product	mso:commerce.consumer_product
experimental:fb_schema_staging.context_name	experimental:fb_schema_staging.context_name.original_name	mso:type.text
mso:automotive.generation	mso:automotive.generation.make	mso:automotive.make
experimental:fb_schema_staging.cricket_roster	experimental:fb_schema_staging.cricket_roster.position	experimental:fb_schema_staging.cricket_position
mso:tennis.tournament_championship	mso:tennis.tournament_championship.match_type	mso:tennis.match_type
mso:sports.league	mso:sports.league.championship	mso:sports.championship
mso:cricket.bowler_stats	mso:cricket.bowler_stats.player	mso:cricket.bowler
mso:chemistry.chemical_compound	mso:chemistry.chemical_compound.phase_at_stp	mso:chemistry.phase_of_matter
mso:astronomy.galactic_interaction	mso:astronomy.galactic_interaction.galactic_interaction_type	mso:astronomy.galactic_interaction_type
mso:broadcast.callsign_duration	mso:broadcast.callsign_duration.callsign	mso:type.text
mso:cvg.mouse_settings	mso:cvg.mouse_settings.mousepad	mso:commerce.consumer_product
mso:basketball.player_stats	mso:basketball.player_stats.fta	mso:type.decimal
mso:biology.gene_ontology_group_membership_evidence	mso:biology.gene_ontology_group_membership_evidence.webpage	mso:common.webpage
local:local.panorama	local:local.panorama.json_url	mso:type.uri
mso:event.physical_exercise	mso:event.physical_exercise.exercise_circuit	mso:sports.exercise_circuit
mso:baseball.batting_statistics	mso:baseball.batting_statistics.rbis	mso:type.decimal
mso:automotive.individual_motorcycle	mso:automotive.individual_motorcycle.series	mso:automotive.motorcycle_series
mso:american_football.player_receiving_statistics	mso:american_football.player_receiving_statistics.touchdowns	mso:type.decimal
mso:automotive.automotive_class	mso:automotive.automotive_class.minimum_ground_clearance	mso:type.decimal
local:local.photo	local:local.photo.size	local:local.photo_size
mso:automotive.body_style	mso:automotive.body_style.front_headroom	mso:type.decimal
mso:medicine.infectious_disease	mso:medicine.infectious_disease.infectious_agent_type	mso:medicine.type_of_infectious_agent
mso:astronomy.star	mso:astronomy.star.constellation	mso:astronomy.constellation
mso:rail.steam_locomotive_class	mso:rail.steam_locomotive_class.factor_of_adhesion	mso:type.decimal
mso:education.residential_college	mso:education.residential_college.undergraduate_number	mso:measurement_unit.dated_float
mso:internet.social_network_user	mso:internet.social_network_user.linkedin_id	mso:type.string
mso:military.gun	mso:military.gun.recoil	mso:measurement_unit.floating_point_range
mso:automotive.platform	mso:automotive.platform.predecessor	mso:automotive.platform
mso:biology.animal_breed	mso:biology.animal_breed.coat_description	mso:type.text
mso:local.entity	local:local.entity.offer_group	local:local.offer_group
mso:commerce.cameras_and_optics_product	mso:commerce.cameras_and_optics_product.lens_type	mso:commerce.camera_lens
mso:business.operation	mso:business.operation.revenue	mso:measurement_unit.dated_money_value
mso:comic_books.fictional_universe	mso:comic_books.fictional_universe.primary_publisher	mso:comic_books.publisher
mso:business.job_posting	mso:business.job_posting.incentives_compensation	mso:type.text
mso:conferences.conference	mso:conferences.conference.registration_url	mso:type.uri
experimental:fb_schema_staging.election_extra	experimental:fb_schema_staging.election_extra.winners	experimental:fb_schema_staging.winning_votable_entity
mso:education.research_study	mso:education.research_study.outcome	mso:type.text
mso:tv.crew_gig	mso:tv.crew_gig.crewmember	mso:tv.crewmember
mso:automotive.engine	mso:automotive.engine.fuel	mso:automotive.fuel
mso:geography.glacier	mso:geography.glacier.thickness	mso:type.decimal
experimental:fb_schema_staging.book_refactor_book	experimental:fb_schema_staging.book_refactor_book.publication_date	mso:type.datetime
mso:education.educational_institution	mso:education.educational_institution.retention_rate	mso:education.retention_rate
mso:basketball.coach	mso:basketball.coach.team	mso:basketball.team
mso:organization.organization	conflation:organization.organization.headquarters_country	mso:type.string
mso:geography.glacier	mso:geography.glacier.terminus	mso:geography.glacier_terminus
mso:boats.ship	mso:boats.ship.place_built	mso:location.location
mso:law.attorney_license	mso:law.attorney_license.license_state	mso:location.political_unit
mso:event.action	mso:event.action.internet_api	mso:internet.api
mso:music.release	mso:music.release.region	mso:location.location
experimental:fb_schema_staging.ship_extra	experimental:fb_schema_staging.ship_extra.max_speed	mso:type.decimal
mso:organization.organization	conflation:organization.organization.headquarters_city	mso:type.string
mso:architecture.firm	mso:architecture.firm.firm_partners	mso:architecture.firm_partners
mso:law.patent	mso:law.patent.filing_date	mso:type.datetime
mso:boats.ship_class	mso:boats.ship_class.date_designed	mso:type.datetime
mso:book.newspaper	mso:book.newspaper.circulation_areas	mso:location.location
mso:media_common.video_offer	mso:media_common.video_offer.source	mso:media_common.video_source_enum
mso:local.accommodation	dev:local.accommodation.brand_detail	dev:local.accommodation_brand_detail
mso:astronomy.telescope_type	mso:astronomy.telescope_type.telescopes_of_this_type	mso:astronomy.telescope
mso:people.person	mso:people.person.interests	mso:interests.interest
mso:automotive.platform	mso:automotive.platform.successor	mso:automotive.platform
mso:statistics.environment_group	mso:statistics.environment_group.nitrous_oxide_emissions_total	mso:measurement_unit.dated_float
mso:automotive.body_style	mso:automotive.body_style.range	mso:type.decimal
dev:local.accommodation_rate_detail	dev:local.accommodation_rate_detail.checkout_date	mso:type.datetime
mso:olympics.athlete	mso:olympics.athlete.demonstration_medals_won	mso:olympics.demonstration_medal_honor
mso:book.editor_title	mso:book.editor_title.editors	mso:book.editorial_tenure
mso:automotive.trim_level	mso:automotive.trim_level.rear_hiproom_in_mm	mso:type.decimal
mso:internet.social_network_user	mso:internet.social_network_user.send_message_url	mso:type.uri
mso:law.attorney_business_relationship	mso:law.attorney_business_relationship.work_hours	mso:type.text
mso:american_football.game_passing_statistics	mso:american_football.game_passing_statistics.yards_lost_on_sacks	mso:type.decimal
mso:military.combatant_group	mso:military.combatant_group.combatant	mso:military.combatant
mso:application.software_version	mso:application.software_version.platform	mso:computer.computing_platform
mso:local.accommodation	dev:local.accommodation.rate_detail	dev:local.accommodation_rate_detail
mso:book.edition	mso:book.edition.lcc	mso:type.string
mso:application.app	mso:application.app.tile_color	mso:visual_art.color
mso:book.bibliography	mso:book.bibliography.written_work	mso:book.written_work
mso:baseball.historical_roster_position	mso:baseball.historical_roster_position.team	mso:baseball.team
mso:business.operation	mso:business.operation.market_capitalization	mso:measurement_unit.dated_money_value
mso:american_football.player	mso:american_football.player.award	mso:sports.award
experimental:fb_schema_staging.sumo_wrestler_division_relationship	experimental:fb_schema_staging.sumo_wrestler_division_relationship.to	mso:type.datetime
mso:ratings.rated_entity	dev:ratings.rated_entity.provided_aggregate_rating	mso:ratings.rating
mso:location.location	mso:location.location.contact_information	mso:common.contact_information
mso:book.journal	mso:book.journal.individual_price	mso:measurement_unit.dated_money_value
mso:biology.animal	mso:biology.animal.diameter	mso:measurement_unit.qualified_value
mso:computer.data_catalog	mso:computer.data_catalog.dataset	mso:computer.dataset
mso:baseball.batting_statistics	mso:baseball.batting_statistics.at_bats	mso:type.decimal
mso:measurement_unit.angular_velocity_unit	mso:measurement_unit.angular_velocity_unit.frequency_in_radians_per_second	mso:type.decimal
mso:book.editorial_tenure	mso:book.editorial_tenure.to	mso:type.datetime
mso:local.restaurant	mso:local.restaurant.view_menu	mso:event.view_action
mso:event.shipwreck_event	mso:event.shipwreck_event.rescue_ship	mso:boats.ship
mso:government.national_anthem	mso:government.national_anthem.national_anthem_of	mso:government.national_anthem_of_a_country
mso:adult.adult_category	mso:adult.adult_category.porn_stars	mso:adult.porn_star
mso:comic_strips.character	mso:comic_strips.character.comic_strips_appeared_in	mso:comic_strips.comic_strip
mso:event.commercial_flight_action	mso:event.commercial_flight_action.airline	mso:aviation.airline
mso:radio.radio_program_episode	mso:radio.radio_program_episode.program	mso:radio.radio_program
mso:education.educational_institution	mso:education.educational_institution.preferred_computing_platform	mso:computer.computing_platform
experimental:fb_schema_staging.previous_name	experimental:fb_schema_staging.previous_name.to	mso:type.datetime
experimental:fb_schema_staging.pronunciation	experimental:fb_schema_staging.pronunciation.yomigana	mso:type.string
experimental:fb_schema_staging.context_name	experimental:fb_schema_staging.context_name.automotive	mso:type.text
mso:business.product_with_ingredients	mso:business.product_with_ingredients.ingredient	mso:business.product_ingredient
mso:event.ticket	mso:event.ticket.price_range	mso:type.string
mso:american_football.game	mso:american_football.game.game_passing_statistics	mso:american_football.game_passing_statistics
mso:biology.organism_classification	mso:biology.organism_classification.fossil_specimens	mso:biology.fossil_specimen
mso:food.recipe	mso:food.recipe.view_recipe	mso:event.view_action
experimental:fb_schema_staging.celestial_object_extra	experimental:fb_schema_staging.celestial_object_extra.composition	experimental:fb_schema_staging.celestial_object_composition
mso:astronomy.celestial_object	mso:astronomy.celestial_object.red_shift	mso:astronomy.red_shift
experimental:fb_schema_staging.food_fat_energy_information	experimental:fb_schema_staging.food_fat_energy_information.per_quantity_description	mso:type.text
mso:business.consumer_company	mso:business.consumer_company.brands	mso:commerce.company_brand_relationship
experimental:fb_schema_staging.book_author_credit	experimental:fb_schema_staging.book_author_credit.credit	mso:type.text
mso:basketball.team_stats	mso:basketball.team_stats.wins	mso:type.decimal
mso:medicine.drug	mso:medicine.drug.safety_information	mso:type.text
mso:rail.steam_locomotive_class	mso:rail.steam_locomotive_class.valve_gear	mso:engineering.valve_gear
mso:astronomy.planetographic_coordinate	mso:astronomy.planetographic_coordinate.longitude	mso:type.decimal
experimental:fb_schema_staging.holiday_observance_rule	experimental:fb_schema_staging.holiday_observance_rule.weekend_observance	experimental:fb_schema_staging.holiday_weekend_observance
mso:cricket.player_stats	mso:cricket.player_stats.competition_form	mso:cricket.match_type
mso:book.place_of_publication_period	mso:book.place_of_publication_period.place_of_publication	mso:location.location
mso:book.illustrator	mso:book.illustrator.book_edition_covers	mso:book.edition
mso:statistics.population_group	mso:statistics.population_group.urban_population_percentage	mso:measurement_unit.dated_percentage
mso:computer.computer	mso:computer.computer.discontinued	mso:type.datetime
mso:american_football.player	mso:american_football.player.kicking_field_goals_attempted	mso:type.decimal
mso:rail.train	mso:rail.train.acceleration	mso:type.decimal
mso:measurement_unit.changed_value_over_time	mso:measurement_unit.changed_value_over_time.time_unit	mso:type.unit
mso:exhibitions.run	mso:exhibitions.run.venue	mso:architecture.venue
experimental:fb_schema_staging.written_work_extra	experimental:fb_schema_staging.written_work_extra.transformations	experimental:fb_schema_staging.transformation
mso:medicine.manufactured_drug_form	mso:medicine.manufactured_drug_form.size	mso:type.decimal
mso:american_football.game	mso:american_football.game.home_team	mso:american_football.team
mso:baseball.roster_position	mso:baseball.roster_position.position	mso:baseball.position
mso:baseball.team	mso:baseball.team.division	mso:baseball.division
mso:baseball.current_coaching_tenure	mso:baseball.current_coaching_tenure.coaching_position	mso:baseball.coaching_position
mso:statistics.population_group	mso:statistics.population_group.population_percent_internet_users	mso:measurement_unit.dated_percentage
mso:meteorology.tropical_cyclone	mso:meteorology.tropical_cyclone.highest_winds	mso:type.decimal
experimental:fb_schema_staging.holiday_occurrence	experimental:fb_schema_staging.holiday_occurrence.comment	mso:type.text
mso:business.industry	mso:business.industry.isic_code	mso:type.string
experimental:fb_schema_staging.ship_extra	experimental:fb_schema_staging.ship_extra.disposition	experimental:fb_schema_staging.boat_disposition
mso:rail.railway_locomotive_class_relationship	mso:rail.railway_locomotive_class_relationship.number_class	mso:type.decimal
mso:food.recipe	mso:food.recipe.equipment	mso:food.culinary_tool
mso:time.time_zone	mso:time.time_zone.offset_from_uct	mso:type.decimal
mso:medicine.physician	mso:medicine.physician.medical_specialty	mso:medicine.physician_specialty
mso:book.author	mso:book.author.active_end	mso:type.datetime
mso:royalty.system_of_nobility	mso:royalty.system_of_nobility.system_rank_relationship	mso:royalty.system_rank_relationship
mso:aviation.aircraft_model	mso:aviation.aircraft_model.number_owned_by	mso:aviation.aircraft_ownership_count
mso:biology.cytogenetic_band	mso:biology.cytogenetic_band.identifier	mso:type.string
mso:government.general_election	mso:government.general_election.election_seats	mso:type.decimal
experimental:fb_schema_staging.book_refactor_transformation	experimental:fb_schema_staging.book_refactor_transformation.transformation_type	mso:type.text
mso:film.showtime	mso:film.showtime.show_times	mso:type.string
mso:american_football.player	mso:american_football.player.career_losses	mso:type.decimal
experimental:fb_schema_staging.context_name	experimental:fb_schema_staging.context_name.previous_name	experimental:fb_schema_staging.previous_name
mso:baseball.roster_position	mso:baseball.roster_position.player	mso:baseball.player
mso:internet.blogger	mso:internet.blogger.blog	mso:internet.blog
mso:book.forum_answer	mso:book.forum_answer.approved	mso:type.boolean
experimental:fb_schema_staging.plural_form	experimental:fb_schema_staging.plural_form.few	mso:type.text
mso:local.entity	dev:local.entity.operating_hour	dev:local.operating_hour
mso:chemistry.chemical_element	mso:chemistry.chemical_element.melting_point	mso:type.decimal
mso:architecture.occupancy	mso:architecture.occupancy.from	mso:type.datetime
mso:cricket.team_stats	mso:cricket.team_stats.no_results	mso:type.decimal
mso:book.book	mso:book.book.rating	mso:ratings.rating
mso:atom.feed_person	mso:atom.feed_person.email	mso:type.string
mso:basketball.coach	mso:basketball.coach.playoff_wins	mso:type.decimal
mso:business.board_member	mso:business.board_member.organization_board_memberships	mso:organization.board_membership
mso:commerce.camera	mso:commerce.camera.viewfinder_type	mso:type.string
mso:astronomy.celestial_object	mso:astronomy.celestial_object.surface_area	mso:type.decimal
mso:american_football.game_rushing_statistics	mso:american_football.game_rushing_statistics.yards	mso:type.decimal
mso:basketball.coach	mso:basketball.coach.season_losses	mso:type.decimal
mso:commerce.consumer_product	mso:commerce.consumer_product.feature	mso:type.string
experimental:fb_schema_staging.ballot_item	experimental:fb_schema_staging.ballot_item.name_on_ballot	mso:type.text
dev:local.accommodation_brand_detail	dev:local.accommodation_brand_detail.parent_brand_id	mso:type.string
mso:automotive.cargo_bed	mso:automotive.cargo_bed.wheel_well_in_mm	mso:type.decimal
mso:award.hall_of_fame_induction	mso:award.hall_of_fame_induction.inductee	mso:award.hall_of_fame_inductee
mso:astronomy.star	mso:astronomy.star.star_system	mso:astronomy.star_system
mso:astronomy.star	mso:astronomy.star.metallicity	mso:type.decimal
mso:broadcast.tv_station	mso:broadcast.tv_station.founded	mso:type.datetime
mso:adult.adult_category	mso:adult.adult_category.websites	mso:adult.adult_website
mso:fictional_universe.character	mso:fictional_universe.character.character_species	mso:fictional_universe.character_species
mso:organization.organization	mso:organization.organization.credo	mso:type.text
mso:automotive.automotive_class	mso:automotive.automotive_class.body_style_entity	mso:automotive.body_style
mso:book.edition_series	mso:book.edition_series.sub_series	mso:book.edition_series
mso:architecture.structure	mso:architecture.structure.dimensions	mso:measurement_unit.dimensions
experimental:fb_schema_staging.organization_extra	experimental:fb_schema_staging.organization_extra.chain	experimental:fb_schema_staging.chain
mso:book.periodical_publication_date	mso:book.periodical_publication_date.volume	mso:type.string
mso:automotive.gear_ratio	mso:automotive.gear_ratio.gear	mso:automotive.gear
mso:local.entity	local:local.entity.rating_scale	mso:type.decimal
mso:food.beer	mso:food.beer.alcohol_content	mso:type.decimal
mso:automotive.model	mso:automotive.model.generation	mso:automotive.generation
mso:organization.organization	conflation:organization.organization.latlong	mso:type.string
mso:film.performance	mso:film.performance.actor	mso:film.actor
mso:chemistry.chemical_element	mso:chemistry.chemical_element.discovery_date	mso:type.datetime
mso:transportation.road_segment	mso:transportation.road_segment.free_flow_duration	mso:type.decimal
experimental:fb_schema_staging.body_of_water_extra	experimental:fb_schema_staging.body_of_water_extra.fish	experimental:fb_schema_staging.fish
mso:finance.income_tax_form	mso:finance.income_tax_form.form_url	mso:type.uri
mso:biology.cluster_orthologous_group	mso:biology.cluster_orthologous_group.gene	mso:biology.gene
mso:automotive.automotive_class	mso:automotive.automotive_class.front_brake	mso:automotive.vehicle_brake
mso:finance.currency_subunit	mso:finance.currency_subunit.quantity_to_one_unit	mso:type.decimal
mso:measurement_unit.percentage_range	mso:measurement_unit.percentage_range.low_value	mso:type.decimal
mso:comic_strips.comic_strip	mso:comic_strips.comic_strip.date_of_last_strip	mso:type.datetime
mso:spaceflight.rocket_engine	mso:spaceflight.rocket_engine.isp_vacuum	mso:type.decimal
mso:olympics.country_games_relationship	mso:olympics.country_games_relationship.medals_by_gender	mso:olympics.medals_by_gender
experimental:fb_schema_staging.winning_votable_entity	experimental:fb_schema_staging.winning_votable_entity.office	experimental:fb_schema_staging.government_office_extra
mso:aviation.airport_runway	mso:aviation.airport_runway.end_location	mso:location.location
mso:award.ranking	mso:award.ranking.rank	mso:type.decimal
mso:common.image	dev:common.image.is_wikipedia_infobox	mso:type.boolean
mso:physics.particle_antiparticle	mso:physics.particle_antiparticle.particle	mso:physics.particle
mso:fictional_universe.object	mso:fictional_universe.object.object_destruction_method	mso:fictional_universe.object_destruction_method
mso:cricket.tournament	mso:cricket.tournament.tournament_event	mso:cricket.tournament_event
mso:business.market_size	mso:business.market_size.region	mso:location.location
mso:business.industry	mso:business.industry.sic_code	mso:business.standard_industrial_classification
mso:amusement_parks.amusement_park_area	mso:amusement_parks.amusement_park_area.park	mso:amusement_parks.park
mso:book.edition	mso:book.edition.retail_price	mso:measurement_unit.money_value
experimental:fb_schema_staging.election_extra	experimental:fb_schema_staging.election_extra.location	experimental:fb_schema_staging.election_location
experimental:fb_schema_staging.cricket_player_stats_extra	experimental:fb_schema_staging.cricket_player_stats_extra.five_for	mso:type.decimal
experimental:fb_schema_staging.concept_developer_relationship	experimental:fb_schema_staging.concept_developer_relationship.date	mso:type.datetime
mso:application.software_version	mso:application.software_version.provided_feature	mso:type.text
mso:astronomy.meteorite	mso:astronomy.meteorite.meteorite_composition	mso:astronomy.meteoric_composition
mso:book.online_edition	mso:book.online_edition.kindle	mso:common.webpage
mso:location.geocode	mso:location.geocode.elevation	mso:type.decimal
mso:cvg.mouse_settings	mso:cvg.mouse_settings.windows_sensitivity	mso:measurement_unit.integer_ratio
mso:computer.software	mso:computer.software.protocols_used	mso:internet.protocol
mso:architecture.structure	mso:architecture.structure.status	mso:type.text
mso:people.profession	mso:people.profession.dated_projected_outlook	mso:measurement_unit.dated_percentage
mso:soccer.player_match_participation	mso:soccer.player_match_participation.shirt_number	mso:type.decimal
mso:book.periodical_publisher_period	mso:book.periodical_publisher_period.periodical	mso:book.periodical
mso:boats.ship	mso:boats.ship.means_of_propulsion	mso:boats.means_of_propulsion
mso:american_football.team	mso:american_football.team.away_games	mso:american_football.game
mso:common.photograph	mso:common.photograph.field_of_view	mso:type.decimal
mso:event.commercial_flight_action	mso:event.commercial_flight_action.departure_gate	mso:type.text
mso:atom.feed	mso:atom.feed.source	mso:type.uri
mso:chemistry.chemical_element	mso:chemistry.chemical_element.covalent_radius	mso:type.decimal
mso:basketball.player	mso:basketball.player.statistic_set	mso:sports.statistic_set
mso:medicine.drug_label_section	mso:medicine.drug_label_section.section_loinc_code	mso:type.string
mso:baseball.lifetime_batting_statistics	mso:baseball.lifetime_batting_statistics.last_statistics_season	mso:sports.season
mso:event.disaster	mso:event.disaster.disaster_victim	mso:people.person
mso:military.unit	mso:military.unit.march	mso:music.composition
mso:basketball.player_career_stats	mso:basketball.player_career_stats.rebounds1	mso:type.decimal
mso:architecture.ownership	mso:architecture.ownership.start_date	mso:type.datetime
mso:ratings.review_sentiment	mso:ratings.review_sentiment.aspect_end	mso:type.decimal
mso:business.defunct_company	mso:business.defunct_company.ceased_operations	mso:type.datetime
mso:astronomy.comet	mso:astronomy.comet.designation	mso:type.text
mso:law.detailed_patent_classification_relationship	mso:law.detailed_patent_classification_relationship.subclass	mso:type.text
mso:astronomy.celestial_object	mso:astronomy.celestial_object.mean_radius	mso:type.decimal
experimental:fb_schema_staging.pronunciation	experimental:fb_schema_staging.pronunciation.ipa	mso:type.string
mso:film.film	mso:film.film.synopsis	mso:media_common.synopsis
mso:automotive.automotive_class	mso:automotive.automotive_class.oil_capacity	mso:type.decimal
experimental:fb_schema_staging.application_version	experimental:fb_schema_staging.application_version.minumum_os_version	mso:type.string
mso:medicine.medical_trial_sponsor	mso:medicine.medical_trial_sponsor.trials_sponsored	mso:medicine.medical_trial
mso:education.cost	mso:education.cost.room_and_board_fee	mso:measurement_unit.dated_money_value
mso:commerce.electronics_product	mso:commerce.electronics_product.video_sensor	mso:commerce.image_sensor
mso:aviation.aviation_incident_aircraft_relationship	mso:aviation.aviation_incident_aircraft_relationship.incident	mso:aviation.airliner_accident
mso:computer.memory	mso:computer.memory.size	mso:type.decimal
mso:american_football.player	mso:american_football.player.sacks	mso:type.decimal
experimental:fb_schema_staging.location_extra	experimental:fb_schema_staging.location_extra.vehicle_registration_code	mso:type.string
mso:cricket.match_type	mso:cricket.match_type.overs_per_inning	mso:type.decimal
mso:commerce.cd_drive	mso:commerce.cd_drive.laser_labelling_technology	mso:type.string
mso:commerce.headphone	mso:commerce.headphone.diameter	mso:type.decimal
dev:local.operating_hour	dev:local.operating_hour.time_zone	mso:time.time_zone
experimental:fb_schema_staging.election_ticket	experimental:fb_schema_staging.election_ticket.members	experimental:fb_schema_staging.election_ticket_membership
experimental:fb_schema_staging.education_board	experimental:fb_schema_staging.education_board.schools	experimental:fb_schema_staging.education_board_school_relationship
mso:government.primary_election	mso:government.primary_election.follow_on_election	mso:government.election
mso:biology.cryptid	mso:biology.cryptid.alternative_organism	mso:biology.organism_classification
mso:comic_books.comic_story_printing	mso:comic_books.comic_story_printing.issue	mso:comic_books.issue
mso:food.food	mso:food.food.serving_size	mso:type.string
mso:biology.gene_ontology_group	mso:biology.gene_ontology_group.identifier	mso:type.string
mso:aviation.airline_ticket	mso:aviation.airline_ticket.airline	mso:aviation.airline
mso:measurement_unit.current_unit	mso:measurement_unit.current_unit.measurement_system	mso:measurement_unit.measurement_system
mso:american_football.game_rushing_statistics	mso:american_football.game_rushing_statistics.team	mso:american_football.team
mso:automotive.exterior_color	mso:automotive.exterior_color.clear_coat	mso:type.boolean
mso:education.field_of_study	mso:education.field_of_study.academic_departments	mso:education.department
experimental:fb_schema_staging.menu_item	experimental:fb_schema_staging.menu_item.variant_sizes	experimental:fb_schema_staging.menu_item
mso:commerce.digital_camera	mso:commerce.digital_camera.tele_focal_length	mso:type.decimal
mso:cvg.computer_game_engine	mso:cvg.computer_game_engine.computer_game_engine_family	mso:cvg.computer_game_engine_family
local:local.photo	local:local.photo.update_date	mso:type.string
mso:business.consumer_company	mso:business.consumer_company.product_lines	mso:business.company_product_line_relationship
mso:tv.actor	mso:tv.actor.starring_roles	mso:tv.regular_tv_appearance
mso:architecture.structure	mso:architecture.structure.purpose	mso:architecture.structure_purpose
mso:chemistry.chemical_compound	mso:chemistry.chemical_compound.enthalpy_change_of_formation_gas	mso:type.decimal
mso:symbols.heraldic_torse	mso:symbols.heraldic_torse.color	mso:symbols.heraldic_tincture
experimental:fb_schema_staging.menu_item	experimental:fb_schema_staging.menu_item.section	experimental:fb_schema_staging.menu_item_section_relationship
experimental:fb_schema_staging.nonprofit_funding	experimental:fb_schema_staging.nonprofit_funding.amount	mso:type.decimal
mso:medicine.disease	mso:medicine.disease.affiliated_diseases	mso:medicine.disease
experimental:fb_schema_staging.app_variant	experimental:fb_schema_staging.app_variant.compatible_os	mso:computer.operating_system
mso:aviation.airline	mso:aviation.airline.number_of_destinations	mso:type.decimal
mso:baseball.pitching_season_statistics	mso:baseball.pitching_season_statistics.base_on_balls	mso:type.decimal
mso:local.entity	mso:local.entity.food_service_hours	dev:local.operating_hour
mso:commerce.electronics_product	mso:commerce.electronics_product.camera	mso:type.boolean
mso:book.periodical	mso:book.periodical.format	mso:book.periodical_format_period
mso:fashion.clothing_size	mso:fashion.clothing_size.garment	mso:fashion.garment
mso:commerce.consumer_product	mso:commerce.consumer_product.waterproof	mso:type.boolean
mso:comic_books.comic_story_printing	mso:comic_books.comic_story_printing.story	mso:comic_books.story
mso:royalty.precedence	mso:royalty.precedence.lower_rank	mso:royalty.noble_rank
experimental:fb_schema_staging.government_position_held_extra	experimental:fb_schema_staging.government_position_held_extra.politician_web_contact	mso:type.uri
mso:statistics.education_group	mso:statistics.education_group.education_expenditure_rate	mso:measurement_unit.dated_float
mso:internet.social_network_user	mso:internet.social_network_user.add_as_friend_url	mso:type.uri
mso:fictional_universe.universe	mso:fictional_universe.universe.created_by	mso:fictional_universe.universe_creator
mso:commerce.electronics_product	mso:commerce.electronics_product.supported_software	mso:computer.software
mso:award.category	mso:award.category.disciplines_or_subjects	mso:award.discipline
mso:sports.sports_statistics	mso:sports.sports_statistics.agent	mso:sports.sports_agent
mso:measurement_unit.solid_angle_unit	mso:measurement_unit.solid_angle_unit.measurement_system	mso:measurement_unit.measurement_system
experimental:fb_schema_staging.written_work_author_credit	experimental:fb_schema_staging.written_work_author_credit.to	mso:type.datetime
mso:statistics.economic_group	mso:statistics.economic_group.agriculture_percent_gdp	mso:measurement_unit.dated_percentage
mso:commerce.consumer_product	mso:commerce.consumer_product.stockkeeping_unit	mso:type.text
mso:tv.producer_episode_credit	mso:tv.producer_episode_credit.producer	mso:tv.producer
mso:tv.director	mso:tv.director.tv_segments_directed	mso:tv.episode_segment
mso:automotive.upholstery	mso:automotive.upholstery.color	mso:visual_art.color
mso:internet.top_level_domain_sponsor	mso:internet.top_level_domain_sponsor.domains	mso:internet.top_level_domain
mso:architecture.lighthouse	mso:architecture.lighthouse.light_color_range	mso:architecture.light_color_range
mso:sports.season_schedule	mso:sports.season_schedule.season	mso:sports.season
mso:automotive.vehicle	mso:automotive.vehicle.make	mso:automotive.make
mso:commerce.water_heater	productsearch:commerce.water_heater.tank_capacity	mso:type.string
mso:law.court	mso:law.court.founded	mso:type.datetime
mso:architecture.engineer	mso:architecture.engineer.partner_in_firm	mso:architecture.engineering_firm
experimental:fb_schema_staging.median_lethal_dose	experimental:fb_schema_staging.median_lethal_dose.route_of_administration	mso:medicine.drug_administration_route
mso:commerce.electronics_product	mso:commerce.electronics_product.supported_memory_card	mso:computer.memory_card
experimental:fb_schema_staging.app_variant	experimental:fb_schema_staging.app_variant.developers	experimental:fb_schema_staging.developer_variant_relationship
mso:biology.gene	mso:biology.gene.chromosome	mso:biology.chromosome
mso:book.author	mso:book.author.active_start	mso:type.datetime
mso:internet.top_level_domain	mso:internet.top_level_domain.sponsor	mso:internet.top_level_domain_sponsor
mso:automotive.body_style	mso:automotive.body_style.rear_leg_room	mso:type.decimal
mso:geology.rock_type	mso:geology.rock_type.sub_types	mso:geology.rock_type
mso:commerce.digital_camera	mso:commerce.digital_camera.camera_sensor_manufacturer	mso:business.consumer_company
dev:local.chain	dev:local.chain.id	mso:type.string
mso:automotive.generation	mso:automotive.generation.model	mso:automotive.model
mso:boats.ship_class	mso:boats.ship_class.ships_in_class	mso:boats.ship
mso:statistics.economic_group	mso:statistics.economic_group.net_flows_total_external_debt	mso:measurement_unit.dated_money_value
experimental:fb_schema_staging.drug_pregnancy_category_extra	experimental:fb_schema_staging.drug_pregnancy_category_extra.pregnancy_risk_summary	mso:type.text
experimental:fb_schema_staging.blood_type	experimental:fb_schema_staging.blood_type.system	experimental:fb_schema_staging.blood_type_system
mso:theater.genre	mso:theater.genre.plays_in_this_genre	mso:theater.play
mso:astronomy.astronomical_survey_project_organization	mso:astronomy.astronomical_survey_project_organization.astronomical_observatory	mso:astronomy.astronomical_observatory
experimental:fb_schema_staging.airport_extra	experimental:fb_schema_staging.airport_extra.opening_date	mso:type.datetime
mso:book.edition	mso:book.edition.book_edition_series	mso:book.edition_series
mso:common.contact_information	mso:common.contact_information.email_address	mso:common.email_address
mso:measurement_unit.dose_equivalence_unit	mso:measurement_unit.dose_equivalence_unit.equivalence_in_sieverts	mso:type.decimal
